Graph Size,Start Node,trial,Distance,Parent
20,3,4,{ 15 10 22 0 25 10 28 9 7 28 14 7 15 36 32 16 19 13 19 37 },{  [1] [3] [5] [] [1 10] [11] [2] [3] [3] [0] [1] [3] [5] [6] [6] [7] [7] [8] [8] [9] }
20,3,5,{ 15 10 22 0 25 10 28 9 7 28 14 7 15 36 32 16 19 13 19 37 },{  [1] [3] [5] [] [1 10] [11] [2] [3] [3] [0] [1] [3] [5] [6] [6] [7] [7] [8] [8] [9] }
20,4,1,{ 20 15 22 25 0 34 28 34 32 14 11 32 39 36 32 41 44 38 44 23 },{  [1] [4 10] [10] [1] [] [2] [2] [3] [3] [4] [4] [3] [5] [6] [6] [7] [7] [8] [8] [9] }
20,4,2,{ 20 15 22 25 0 34 28 34 32 14 11 32 39 36 32 41 44 38 44 23 },{  [1] [4 10] [10] [1] [] [2] [2] [3] [3] [4] [4] [3] [5] [6] [6] [7] [7] [8] [8] [9] }
20,4,3,{ 20 15 22 25 0 34 28 34 32 14 11 32 39 36 32 41 44 38 44 23 },{  [1] [4 10] [10] [1] [] [2] [2] [3] [3] [4] [4] [3] [5] [6] [6] [7] [7] [8] [8] [9] }
20,4,4,{ 20 15 22 25 0 34 28 34 32 14 11 32 39 36 32 41 44 38 44 23 },{  [1] [4 10] [10] [1] [] [2] [2] [3] [3] [4] [4] [3] [5] [6] [6] [7] [7] [8] [8] [9] }
20,4,5,{ 20 15 22 25 0 34 28 34 32 14 11 32 39 36 32 41 44 38 44 23 },{  [1] [4 10] [10] [1] [] [2] [2] [3] [3] [4] [4] [3] [5] [6] [6] [7] [7] [8] [8] [9] }
20,5,1,{ 20 20 12 10 34 0 18 19 17 33 23 3 5 26 22 26 29 23 29 42 },{  [2] [3] [5] [11] [10] [] [2] [3] [3] [0] [2] [5] [5] [6] [6] [7] [7] [8] [8] [9] }
20,5,2,{ 20 20 12 10 34 0 18 19 17 33 23 3 5 26 22 26 29 23 29 42 },{  [2] [3] [5] [11] [10] [] [2] [3] [3] [0] [2] [5] [5] [6] [6] [7] [7] [8] [8] [9] }
20,5,3,{ 20 20 12 10 34 0 18 19 17 33 23 3 5 26 22 26 29 23 29 42 },{  [2] [3] [5] [11] [10] [] [2] [3] [3] [0] [2] [5] [5] [6] [6] [7] [7] [8] [8] [9] }
20,5,4,{ 20 20 12 10 34 0 18 19 17 33 23 3 5 26 22 26 29 23 29 42 },{  [2] [3] [5] [11] [10] [] [2] [3] [3] [0] [2] [5] [5] [6] [6] [7] [7] [8] [8] [9] }
20,5,5,{ 20 20 12 10 34 0 18 19 17 33 23 3 5 26 22 26 29 23 29 42 },{  [2] [3] [5] [11] [10] [] [2] [3] [3] [0] [2] [5] [5] [6] [6] [7] [7] [8] [8] [9] }
20,6,1,{ 14 19 6 28 28 18 0 37 35 27 17 21 23 8 4 44 47 41 47 36 },{  [2] [0] [6] [11] [10] [2] [] [3] [3] [0] [2] [5] [5] [6] [6] [7] [7] [8] [8] [9] }
